crisis_id,period,trigger_event_type,trigger_event_date,rupture_moment_date,turning_point_or_threshold,manifestation_reasons,discourse_trace,settlement_response_to_trigger,source_ids
CR-1958-60,1958-10-14 to 1960-06-26,decolonization_state_creation,1958-10-14,,,decolonization_state_creation; constitutional_foundation; sovereignty_transfer,Autonomy/Republic proclamation in 1958,Decolonization / autonomy; Independence settlement,SRC_ARCHONTOLOGY_HOS; DISCSRC_1958_MJP; DISCSRC_1960_MJP_DECL; SRC_BARG_1958_01; SRC_BARG_1960_01; SRC_BARG_1960_02
CR-1971,1971-04-01 to 1971-12-31,rural_grievance_and_repression,1971-04-01,,,rural_grievance; regional_exclusion; repression,"The southern revolt is coded as grievance discourse around rural marginalization, repression, and exclusion from the First Republic order.",,SRC_MARCUS_2004; DISCSRC_1971_MARCUS
CR-1972,1972-04-01 to 1972-11-07,student_worker_mobilization,1972-04-01,1972-05-18,,student_mobilization; worker_mobilization; anti_regime_protest; repression; military_intervention,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.; The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,1972 student-worker uprising / First Republic rupture; 1972 military transition; Post-1972 sovereignty renegotiation,SRC_MARCUS_2004; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01
CR-1975,1975-02-05 to 1975-12-31,military_transition_instability,1975-02-05,1975-02-11,,military_transition_instability; assassination; executive_vacancy; military_directory,"The 1975 Socialist Charter and Constitution framed executive authority through revolutionary transformation, national sovereignty, and socialist refoundation.",1975 military transition crisis,SRC_BRITANNICA_RATSIMANDRAVA; DISCSRC_1975_MJP; SRC_BARG_1975_01; SRC_BARG_1975_02
CR-1989,1989-03-12 to 1990-12-31,contested_election,1989-03-12,,,contested_election; urban_protest; democratic_opposition,,,SRC_MARCUS_2004
CR-1991,1991-05-01 to 1992-09-18,mass_opposition_mobilization,1991-05-01,1991-08-10,,mass_mobilization; democratic_transition_claim; church_mediation; national_convention,"Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.; The 1991 Convention transformed crisis claims into a negotiated transition, combining legality, consensus, and national reconciliation.; The transition convention and later constitutional integration used legal formalization to stabilize an extra-ordinary power-sharing arrangement.; The 1992 Constitution framed the exit from crisis as a restored constitutional order based on democratic institutions and popular sovereignty.",1991 Forces Vives transition,SRC_MJP_1991_CONVENTION; DISCSRC_1991_SWARTHMORE; DISCSRC_1991_MJP; DISCSRC_1992_MJP; SRC_BARG_1991_01; SRC_BARG_1991_02
CR-1996,1996-07-26 to 1997-02-09,impeachment_conflict,1996-07-26,1996-09-05,,impeachment; executive_legislative_conflict; constitutional_court_validation,The Zafy impeachment crisis is coded as a legality/accountability discourse around abuse of power and institutional control of the presidency.,,SRC_STATE_1996_HR; DISCSRC_1996_ETHZ
CR-2001-02,2001-12-16 to 2002-07-05,contested_presidential_election,2001-12-16,2002-02-22,,contested_presidential_election; dual_authority; blockade_territorial_fragmentation; international_mediation,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.",2001-2002 electoral crisis,SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; SRC_BARG_2002_01; SRC_BARG_2002_02
CR-2009,2009-01-26 to 2009-03-21,mayor_president_conflict_and_protests,2009-01-26,2009-03-17,,mayor_president_conflict; street_mobilization; military_defection; extra_constitutional_transfer,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.; Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.; The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.; Ordinance n°2009-003 framed HAT authority through legal organization of public powers after the rupture.,2009 Ravalomanana-Rajoelina crisis,SRC_CRS_2009; DISCSRC_2009_CRS; DISCSRC_2009_ORD003; SRC_BARG_2009_01
CR-2009-10,2009-08-09 to 2010-11-17,post_coup_power_sharing_negotiation,2009-08-09,,,transition_power_sharing; international_mediation; agreement_implementation_failure; referendum_process,"The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.",2009 transition crisis; 2009 transition crisis / 2002 legacy; 2009-2011 transition crisis,SRC_CRS_2009; DISCSRC_2009_PAX_MAPUTO; SRC_BARG_2009_02; SRC_BARG_2009_03; SRC_BARG_2009_04; SRC_BARG_2009_05; SRC_BARG_2009_06; SRC_BARG_2009_07; SRC_BARG_2009_08; SRC_BARG_2009_09; SRC_BARG_2009_10; SRC_BARG_2010_01
CR-2011,2011-09-17 to 2013-12-20,regional_mediation_roadmap,2011-09-17,,,transition_stalemate; SADC_mediation; roadmap_to_elections,"The SADC Roadmap framed legitimacy as return to constitutional order through negotiated, internationally monitored elections.",2009-2014 transition crisis,SRC_PEACEMAKER_2011_ROADMAP; DISCSRC_2011_MJP_ROADMAP; SRC_BARG_2011_01; SRC_BARG_2011_02; SRC_BARG_2012_01
CR-2013,2013-05-03 to 2014-01-25,candidate_eligibility_dispute,2013-05-03,,,candidate_eligibility_dispute; transition_exit; international_pressure,"The exit-from-transition debate is coded around eligibility bargaining, exile/return, and acceptability of candidates to local/international actors.",Post-2013 transition consolidation,SRC_PEACEMAKER_2011_ROADMAP; DISCSRC_2013_ACCORD; SRC_BARG_2014_15_01
CR-2018,2018-04-21 to 2018-06-06,electoral_law_protest,2018-04-21,2018-05-25,,electoral_law_dispute; opposition_protest; HCC_consensus_government,The HCC justified a consensus prime minister and government as a legal-institutional response to political conflict over electoral laws.; The 2018 consensus government was framed as a stabilization device to preserve the electoral process and reduce conflict.,2018 electoral-law crisis,SRC_HCC_2018_DEC18; DISCSRC_2018_HCC; DISCSRC_2018_AU; SRC_BARG_2018_01
CR-2023,2023-06-15 to 2023-12-16,eligibility_and_electoral_trust_dispute,2023-06-15,,,dual_nationality_dispute; opposition_boycott; electoral_legitimacy_crisis,"Opposition discourse in 2023 framed the election as illegitimate through citizenship, institutional-coup, and exclusion claims.; Rajoelina’s 2023 claim is coded as electoral mandate/legal continuity after reelection despite opposition contestation.; The HCC framed interim head-of-state functions as legal continuity during the electoral interim period.",2023 presidential election legitimacy crisis,SRC_COMMONS_2023; DISCSRC_2023_ALJAZEERA; DISCSRC_2023_UKPARL; DISCSRC_2023_HCC; SRC_BARG_2023_01
CR-2024,2024-05-29 to 2024-06-30,legislative_election_dispute,2024-05-29,,,legislative_election_dispute; institutional_trust_erosion; pre_2025_tension,,,SRC_LEMONDE_2024_LEG
CR-2025,2025-09-25 to 2025-10-17,public_service_failure_youth_protest,2025-09-25,2025-10-14,,service_failure; Gen_Z_mobilization; military_defection; HCC_vacancy_decision; refoundation_transition,"Gen Z mobilization is coded as youth/popular legitimacy built around public-service grievances, corruption, poverty, and rejection of the incumbent order.; Randrianirina/CAPSAT authority is coded through military arbitration, order restoration, and claimed response to popular mobilization.; The HCC framed the 2025 rupture through vacancy/abandonment and formal recognition of a new authority to exercise Head-of-State functions.; Rajoelina-aligned counter-discourse is coded as anti-coup/legal continuity and rejection of military takeover after his departure.",2025 Gen Z uprising / executive rupture,SRC_HCC_2025_DEC10; DISCSRC_2025_REUTERS_POWERGRAB; DISCSRC_2025_HCC10; DISCSRC_2025_CONSTITUTIONNET; SRC_BARG_2025_01
CR-2025-26,2025-10-17 to 2026-06-24,post_rupture_refoundation_transition,2025-10-17,,,transition_legitimation; national_consultation; SADC_AU_mediation; planned_return_to_order,"The Refoundation Programme frames the transition through national refoundation, consultations, future constitutional redesign, and a managed electoral timetable.; International/regional discourse in 2026 emphasizes transition timing, return to elections, and stabilization under regional scrutiny.",2025-2026 refoundation transition,SRC_AFRICANEWS_2026_ROADMAP; DISCSRC_2026_REFOUNDATION; DISCSRC_2026_AFRICANEWS; SRC_BARG_2025_02; SRC_BARG_2025_03; SRC_BARG_2025_04; SRC_BARG_2026_01
