crisis_id,classification,date_order_suspended_or_reinterpreted,document_chain,suspension_clauses,reinterpretation_clauses,continuity_claims,validation_or_relegalization,extra_constitutional_fact_created,fact_creation_date,legalization_instruments,legalization_actor,legalization_date,settlement_chain,implementation_statuses,source_ids_suspension,source_ids_legalization
CR-1958-60,,,C-1958-01; C-1959-01; A-1960-01; BARG-1958-01; BARG-1960-01; BARG-1960-02; Proclamation of the Malagasy Republic within the French Community; Déclaration commune franco-malgache; Franco-Malagasy cooperation package of independence,,,,,,,foundational_act; constitution; constitutional_amendment,,,Proclamation of the Malagasy Republic within the French Community; Déclaration commune franco-malgache; Franco-Malagasy cooperation package of independence; signed_or_mediated_agreement; political_or_legal_recognition,implemented_or_formally_recognized,SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975; SRC_BARG_1958_01; SRC_BARG_1960_01; SRC_BARG_1960_02,SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975; SRC_BARG_1958_01; SRC_BARG_1960_01; SRC_BARG_1960_02; ELTSRC_HOS; ELTSRC_PMVP
CR-1972,executive_transfer_outside_normal_electoral_succession,1972-05-18,E-1972-01; BARG-1972-01; BARG-1972-02; BARG-1973-01; Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords,,,,,,,provisional_constitution,,,Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords; elections_referendum_or_roadmap; referendum_and_provisional_constitutional_law; signed_or_mediated_agreement,implemented_or_formally_recognized; partial_or_process_needs_verification,SRC_MARCUS_2004; SRC_IMODEV_1972; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01,SRC_MARCUS_2004; SRC_IMODEV_1972; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; ELTSRC_HOS; ELTSRC_PMVP
CR-1975,,,C-1975-01; BARG-1975-01; BARG-1975-02; Ramanantsoa-Ratsimandrava executive transfer arrangement; Military Directorate / Directoire militaire after Ratsimandrava assassination,,,,,,,constitution_and_charter,,,Ramanantsoa-Ratsimandrava executive transfer arrangement; Military Directorate / Directoire militaire after Ratsimandrava assassination; signed_or_mediated_agreement,partial_or_process_needs_verification,SRC_BRITANNICA_RATSIMANDRAVA; SRC_MJP_1975; SRC_BARG_1975_01; SRC_BARG_1975_02,SRC_BRITANNICA_RATSIMANDRAVA; SRC_MJP_1975; SRC_BARG_1975_01; SRC_BARG_1975_02; ELTSRC_HOS; ELTSRC_PMVP
CR-1991,negotiated_transition_convention,1991-10-31,E-1991-01; A-1991-01; E-1992-01; C-1992-01; BARG-1991-01; BARG-1991-02; Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention,,,,,,,transition_convention; constitutional_amendment; transition_ordinance; constitution,,,Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention; elections_referendum_or_roadmap; signed_or_mediated_agreement,implemented_or_formally_recognized,SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992; SRC_BARG_1991_01; SRC_BARG_1991_02,SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992; SRC_BARG_1991_01; SRC_BARG_1991_02; ELTSRC_HOS; ELTSRC_PMVP
CR-1996,,,A-1995-01,,,,,,,,,,,,SRC_STATE_1996_HR; SRC_WIPO_2007,
CR-2001-02,,,,,,,,,,,High Constitutional Court,2002-04-29,Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; elections_referendum_or_roadmap; signed_or_mediated_agreement,signed_but_failed_or_partially_implemented,,SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02; ELTSRC_HOS; ELTSRC_PMVP
CR-2009,military_transfer_to_transition_authority,2009-03-17,A-2009-01; E-2009-01; E-2009-02; E-2009-03; BARG-2009-01; March 2009 military transfer ordinances and HAT institutional arrangement,,,,,,,constitutional_amendment; crisis_transfer_ordinance; transitional_basic_law,High Constitutional Court / military ordinances,,March 2009 military transfer ordinances and HAT institutional arrangement; elections_referendum_or_roadmap; ordinance_or_executive_transfer_act,implemented_or_formally_recognized,SRC_CRS_2009; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; SRC_BARG_2009_01,SRC_CRS_2009; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; SRC_BARG_2009_01; ELTSRC_HOS; ELTSRC_PMVP
CR-2009-10,,,E-2009-04; E-2009-05; E-2010-01; C-2010-01; BARG-2009-02; BARG-2009-03; BARG-2009-04; BARG-2009-05; BARG-2009-06; BARG-2009-07; BARG-2009-08; BARG-2009-09; BARG-2009-10; BARG-2010-01; Accord politique de Maputo; Charte des valeurs; Charte de la Transition; Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annexe 1 — Adhésion à la Charte nationale de la transition; Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache; Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba; Accord politique d’Ivato,,,,,,,transition_charter; transition_charter_addendum; political_agreement; constitution,,,Accord politique de Maputo; Charte des valeurs; Charte de la Transition; Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annexe 1 — Adhésion à la Charte nationale de la transition; Acte additionnel d’Addis-Abeba à la Charte de la Transition malgache; Résolutions des trois mouvances relatives à la mise en application des Accords de Maputo et de l’Acte additionnel d’Addis-Abeba; Accord politique d’Ivato; elections_referendum_or_roadmap; signed_or_mediated_agreement; transition_charter,implemented_or_formally_recognized; signed_but_failed_or_partially_implemented,SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; SRC_BARG_2009_02; SRC_BARG_2009_03; SRC_BARG_2009_04; SRC_BARG_2009_05; SRC_BARG_2009_06; SRC_BARG_2009_07; SRC_BARG_2009_08; SRC_BARG_2009_09; SRC_BARG_2009_10; SRC_BARG_2010_01,SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; SRC_BARG_2009_02; SRC_BARG_2009_03; SRC_BARG_2009_04; SRC_BARG_2009_05; SRC_BARG_2009_06; SRC_BARG_2009_07; SRC_BARG_2009_08; SRC_BARG_2009_09; SRC_BARG_2009_10; SRC_BARG_2010_01; ELTSRC_PMVP
CR-2011,,,E-2011-01; BARG-2011-01; BARG-2011-02; BARG-2012-01; Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap; Cadre de mise en œuvre de la Feuille de route; Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition,,,,,,,internationally_mediated_roadmap,,,Feuille de route pour la sortie de crise à Madagascar / SADC Roadmap; Cadre de mise en œuvre de la Feuille de route; Code d’éthique et de bonne conduite politique des acteurs politiques pendant la Transition; elections_referendum_or_roadmap; mediated_roadmap,implemented_or_formally_recognized; partial_or_process_needs_verification,SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; SRC_BARG_2011_01; SRC_BARG_2011_02; SRC_BARG_2012_01,SRC_PEACEMAKER_2011_ROADMAP; SRC_PEACEMAKER_2011; SRC_BARG_2011_01; SRC_BARG_2011_02; SRC_BARG_2012_01; ELTSRC_PMVP
CR-2013,,,,,,,,,,,,,FFKM-mediated five-presidents national reconciliation process; signed_or_mediated_agreement,partial_or_process_needs_verification,,SRC_PEACEMAKER_2011_ROADMAP; SRC_BARG_2014_15_01; ELTSRC_HOS; ELTSRC_PMVP
CR-2018,,,,,,,,,,,High Constitutional Court,2018-05-25,HCC-ordered consensus-prime-minister / unity-government arrangement; elections_referendum_or_roadmap; constitutional_court_decision,implemented_or_formally_recognized,,SRC_HCC_2018_DEC18; SRC_BARG_2018_01; ELTSRC_HOS; ELTSRC_PMVP
CR-2023,,,,,,,,,,,,,Collectif des candidats proposal for an interim structure / opposition roadmap; elections_referendum_or_roadmap; mediated_roadmap,not_adopted_or_failed_proposal,,SRC_COMMONS_2023; SRC_BARG_2023_01; ELTSRC_HOS
CR-2025,HCC_exceptional_regulation_of_institutional_vacancy,2025-10-14,E-2025-01; BARG-2025-01; HCC Decision n°10-HCC/D3 on resolution of the 2025 political/institutional crisis,,,,,,,constitutional_crisis_decision,High Constitutional Court,,HCC Decision n°10-HCC/D3 on resolution of the 2025 political/institutional crisis; constitutional_court_decision,implemented_or_formally_recognized,SRC_HCC_2025_DEC10; SRC_HCC_2025_10; SRC_BARG_2025_01,SRC_HCC_2025_DEC10; SRC_HCC_2025_10; SRC_BARG_2025_01; ELTSRC_HOS; ELTSRC_PMVP
CR-2025-26,,,E-2025-02; E-2026-01; BARG-2025-02; BARG-2025-03; BARG-2025-04; BARG-2026-01; HCC Decision n°16-HCC/D3 on the Refoundation authority; National Consultation for Refoundation / Fifth Republic process; SADC framework for Madagascar transition oversight and draft National Roadmap; Draft National Roadmap / Programme de la Refondation,,,,,,,interpretive_transition_decision; political_roadmap,,,HCC Decision n°16-HCC/D3 on the Refoundation authority; National Consultation for Refoundation / Fifth Republic process; SADC framework for Madagascar transition oversight and draft National Roadmap; Draft National Roadmap / Programme de la Refondation; elections_referendum_or_roadmap; constitutional_court_decision; consultation_process; mediated_roadmap,implemented_or_formally_recognized; ongoing_or_draft,SRC_AFRICANEWS_2026_ROADMAP; SRC_HCC_2025_16; SRC_AMANI_2026_REFOUND; SRC_BARG_2025_02; SRC_BARG_2025_03; SRC_BARG_2025_04; SRC_BARG_2026_01,SRC_AFRICANEWS_2026_ROADMAP; SRC_HCC_2025_16; SRC_AMANI_2026_REFOUND; SRC_BARG_2025_02; SRC_BARG_2025_03; SRC_BARG_2025_04; SRC_BARG_2026_01; ELTSRC_PMVP
