crisis_id,crisis_name,discourse_record_id,source_date,actor_id,actor_name,claim_summary,textual_evidence,international_criteria,bargain_actor_context,settlement_context,constitutional_context,source_ids
CR-1958-60,Decolonization and constitutional transfer to Malagasy Republic,DISC_1958_001,1958-10-14,INST_MALAGASY_REPUBLIC,Malagasy Republic / Republic of Madagascar,Foundational claim that the Malagasy Republic exists as a legal-political entity within the French Community.,Foundational claim that the Malagasy Republic exists as a legal-political entity within the French Community.,,French Republic; French Community; Congress of provincial assemblies; foreign_state_counterparty; constitutional_framework; adopting_body; foreign_state; domestic_collective,"Proclamation of the Malagasy Republic within the French Community; Déclaration commune franco-malgache; Franco-Malagasy cooperation package of independence; Created the Malagasy Republic within the French Community and opened the negotiated path toward sovereign independence.; France recognized Madagascar as an independent and sovereign state; basis for the following independence/cooperation package and international admission.; Sovereignty package covering Community participation, foreign policy, defense, monetary/economic/financial cooperation, justice, higher education, civil aviation, merchant marine, telecommunications, establishment rights, and other cooperation instruments.",C-1958-01; C-1959-01; A-1960-01; creates Malagasy Republic and provisional executive framework; creates First Republic presidential executive framework; modifies 1959 constitutional text after independence; formal_regular; formal_or_regular_revision,DISCSRC_1958_MJP; SRC_ARCHONTOLOGY_HOS; SRC_BARG_1958_01; SRC_BARG_1960_01; SRC_BARG_1960_02; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1958-60,Decolonization and constitutional transfer to Malagasy Republic,DISC_1960_001,1960-06-26,INST_MALAGASY_REPUBLIC,Malagasy Republic / Republic of Madagascar,Independence discourse frames sovereignty through negotiated legal recognition between France and Madagascar.,Independence discourse frames sovereignty through negotiated legal recognition between France and Madagascar.,,French Republic; French Community; Congress of provincial assemblies; foreign_state_counterparty; constitutional_framework; adopting_body; foreign_state; domestic_collective,"Proclamation of the Malagasy Republic within the French Community; Déclaration commune franco-malgache; Franco-Malagasy cooperation package of independence; Created the Malagasy Republic within the French Community and opened the negotiated path toward sovereign independence.; France recognized Madagascar as an independent and sovereign state; basis for the following independence/cooperation package and international admission.; Sovereignty package covering Community participation, foreign policy, defense, monetary/economic/financial cooperation, justice, higher education, civil aviation, merchant marine, telecommunications, establishment rights, and other cooperation instruments.",C-1958-01; C-1959-01; A-1960-01; creates Malagasy Republic and provisional executive framework; creates First Republic presidential executive framework; modifies 1959 constitutional text after independence; formal_regular; formal_or_regular_revision,DISCSRC_1960_MJP_DECL; SRC_ARCHONTOLOGY_HOS; SRC_BARG_1958_01; SRC_BARG_1960_01; SRC_BARG_1960_02; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,DISC_1972_001,1972-05-18,COL_STUDENTS_WORKERS,Students and workers movement,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.,,Philibert Tsiranana; Gabriel Ramanantsoa; Malagasy military / armed forces; French Republic; incumbent_or_counterparty; recipient_or_transfer_actor; coercive_or_transfer_actor; foreign_state_counterparty; state_elite; military_elite; military; foreign_state,"Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords; Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.; Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.; Renegotiated the 1960 cooperation regime after the 1972 rupture, including French military/strategic and cooperation questions.",E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,DISCSRC_1972_TV5; SRC_MARCUS_2004; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; SRC_IMODEV_1972
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,DISC_1972_002,1972-11-07,PER_002,Gabriel Ramanantsoa,The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,,Philibert Tsiranana; Gabriel Ramanantsoa; Malagasy military / armed forces; French Republic; incumbent_or_counterparty; recipient_or_transfer_actor; coercive_or_transfer_actor; foreign_state_counterparty; state_elite; military_elite; military; foreign_state,"Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords; Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.; Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.; Renegotiated the 1960 cooperation regime after the 1972 rupture, including French military/strategic and cooperation questions.",E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,DISCSRC_1972_MJP_1975; SRC_MARCUS_2004; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; SRC_IMODEV_1972; ELTSRC_HOS; ELTSRC_PMVP
CR-1975,"Ramanantsoa resignation, Ratsimandrava assassination, Military Directory and Ratsiraka settlement",DISC_1975_001,1975-12-31,PER_005,Didier Ignace Ratsiraka,"The 1975 Socialist Charter and Constitution framed executive authority through revolutionary transformation, national sovereignty, and socialist refoundation.","The 1975 Socialist Charter and Constitution framed executive authority through revolutionary transformation, national sovereignty, and socialist refoundation.",,Gabriel Ramanantsoa; Richard Ratsimandrava; Didier Ignace Ratsiraka; Malagasy military / armed forces; Gilles Andriamahazo; 1975 Military Directorate / Directoire militaire; African Union; recipient_or_transfer_actor; claimant_or_signatory; coercive_or_transfer_actor; military_directorate_head; military_directorate; mediator_observer_or_norm_enforcer; military_elite; state_elite; military; regional_organization,"Ramanantsoa-Ratsimandrava executive transfer arrangement; Military Directorate / Directoire militaire after Ratsimandrava assassination; Ramanantsoa resigned and transferred power to Ratsimandrava. The transfer was soon destabilized by Ratsimandrava's assassination, leading to a military directorate and eventually Ratsiraka.; After Ratsimandrava's assassination, a military directorate temporarily exercised authority before Ratsiraka emerged as the dominant transition leader.",C-1975-01; creates Second Republic and highly concentrated revolutionary executive; formal_regular,DISCSRC_1975_MJP; SRC_BRITANNICA_RATSIMANDRAVA; SRC_BARG_1975_01; SRC_BARG_1975_02; SRC_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,DISC_1991_001,1991-08-01,COL_FORCES_VIVES,Forces Vives movement,"Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.","Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.",FFKM,Didier Ignace Ratsiraka; Albert Zafy; African Union; Council of Christian Churches in Madagascar / FFKM; Forces Vives movement; Opposition parties and blocs; Political actors / parties; claimant_or_signatory; mediator_observer_or_norm_enforcer; moral_or_religious_mediator; opposition_movement_signatory; opposition_actor; participant_or_code_subject; state_elite; opposition_elite; regional_organization; religious_actor; opposition_movement,"Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.",E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,DISCSRC_1991_SWARTHMORE; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_BARG_1991_02; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,DISC_1991_002,1991-10-31,COL_FORCES_VIVES,Forces Vives movement,"The 1991 Convention transformed crisis claims into a negotiated transition, combining legality, consensus, and national reconciliation.","The 1991 Convention transformed crisis claims into a negotiated transition, combining legality, consensus, and national reconciliation.",FFKM,Didier Ignace Ratsiraka; Albert Zafy; African Union; Council of Christian Churches in Madagascar / FFKM; Forces Vives movement; Opposition parties and blocs; Political actors / parties; claimant_or_signatory; mediator_observer_or_norm_enforcer; moral_or_religious_mediator; opposition_movement_signatory; opposition_actor; participant_or_code_subject; state_elite; opposition_elite; regional_organization; religious_actor; opposition_movement,"Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.",E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,DISCSRC_1991_MJP; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_BARG_1991_02; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,DISC_1991_003,1991-10-31,INST_HCC,Haute Cour Constitutionnelle,The transition convention and later constitutional integration used legal formalization to stabilize an extra-ordinary power-sharing arrangement.,The transition convention and later constitutional integration used legal formalization to stabilize an extra-ordinary power-sharing arrangement.,FFKM,Didier Ignace Ratsiraka; Albert Zafy; African Union; Council of Christian Churches in Madagascar / FFKM; Forces Vives movement; Opposition parties and blocs; Political actors / parties; claimant_or_signatory; mediator_observer_or_norm_enforcer; moral_or_religious_mediator; opposition_movement_signatory; opposition_actor; participant_or_code_subject; state_elite; opposition_elite; regional_organization; religious_actor; opposition_movement,"Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.",E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,DISCSRC_1991_MJP; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_BARG_1991_02; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,DISC_1992_001,1992-09-18,INST_MALAGASY_REPUBLIC,Malagasy Republic / Republic of Madagascar,The 1992 Constitution framed the exit from crisis as a restored constitutional order based on democratic institutions and popular sovereignty.,The 1992 Constitution framed the exit from crisis as a restored constitutional order based on democratic institutions and popular sovereignty.,FFKM,Didier Ignace Ratsiraka; Albert Zafy; African Union; Council of Christian Churches in Madagascar / FFKM; Forces Vives movement; Opposition parties and blocs; Political actors / parties; claimant_or_signatory; mediator_observer_or_norm_enforcer; moral_or_religious_mediator; opposition_movement_signatory; opposition_actor; participant_or_code_subject; state_elite; opposition_elite; regional_organization; religious_actor; opposition_movement,"Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.",E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,DISCSRC_1992_MJP; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_BARG_1991_02; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_001,2002-05-06,PER_008,Marc Ravalomanana,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.","Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.",INST_SENEGAL; Senegal/Dakar; UN,Didier Ignace Ratsiraka; Marc Ravalomanana; Republic of Senegal / Dakar mediation; United Nations; claimant_or_signatory; host_or_mediator; mediator_or_observer; state_elite; foreign_state; international_organization,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_IRIN; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02; ELTSRC_HOS
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_002,2002-02-22,PER_005,Didier Ignace Ratsiraka,Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.,Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.,INST_SENEGAL; Senegal/Dakar; UN,Didier Ignace Ratsiraka; Marc Ravalomanana; Republic of Senegal / Dakar mediation; United Nations; claimant_or_signatory; host_or_mediator; mediator_or_observer; state_elite; foreign_state; international_organization,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_CPJ; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_003,2002-04-18,INST_SENEGAL,Republic of Senegal / Dakar mediation,"Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.","Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.",INST_SENEGAL; Senegal/Dakar; UN,Didier Ignace Ratsiraka; Marc Ravalomanana; Republic of Senegal / Dakar mediation; United Nations; claimant_or_signatory; host_or_mediator; mediator_or_observer; state_elite; foreign_state; international_organization,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_DAKAR; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_001,2009-03-17,PER_010,Andry Nirina Rajoelina,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; ELTSRC_HOS
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_002,2009-03-17,PER_008,Marc Ravalomanana,Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.,Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_003,2009-03-17,COL_2009_MD,Military Directory: Hippolyte Raharison Ramaroson; Ranto Rabarisoa; Rivo Hanitra Razafindralambo,The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.,The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.,,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union; claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer; state_elite; military; judicial_constitutional; transition_institution; regional_organization,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; ELTSRC_PMVP
