crisis_id,crisis_name,discourse_record_id,source_date,actor_id,actor_name,claim_summary,textual_evidence,delegitimation_claim,elite_context,keywords,settlement_context,constitutional_context,source_ids
CR-1971,Southern revolt / MONIMA crisis,DISC_1971_001,1971-04-01,COL_RURAL_PROTESTERS,Southern rural protesters / MONIMA-linked rural mobilization,"The southern revolt is coded as grievance discourse around rural marginalization, repression, and exclusion from the First Republic order.","The southern revolt is coded as grievance discourse around rural marginalization, repression, and exclusion from the First Republic order.",Philibert Tsiranana; repression,,rural voice; marginalization; repression; grievance,,,DISCSRC_1971_MARCUS; SRC_MARCUS_2004
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,DISC_1972_001,1972-05-18,COL_STUDENTS_WORKERS,Students and workers movement,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.,Philibert Tsiranana,,youth; students; workers; people; anti-neocolonial order; street,"Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; 1972 referendum and Loi constitutionnelle provisoire; Revised Franco-Malagasy cooperation accords; Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.; Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.; Renegotiated the 1960 cooperation regime after the 1972 rupture, including French military/strategic and cooperation questions.",E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,DISCSRC_1972_TV5; SRC_MARCUS_2004; SRC_BARG_1972_01; SRC_BARG_1972_02; SRC_BARG_1973_01; SRC_IMODEV_1972
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,DISC_1991_001,1991-08-01,COL_FORCES_VIVES,Forces Vives movement,"Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.","Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.",Didier Ratsiraka; authoritarianism,,democracy; free elections; people; street; authoritarianism,"Convention du 31 octobre 1991 / Convention du Panorama; Constitutional incorporation of the 31 October 1991 Convention; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.",E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,DISCSRC_1991_SWARTHMORE; SRC_MJP_1991_CONVENTION; SRC_BARG_1991_01; SRC_BARG_1991_02; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992
CR-1996,Zafy impeachment and interim presidency crisis,DISC_1996_001,1996-09-05,INST_HCC,Haute Cour Constitutionnelle,The Zafy impeachment crisis is coded as a legality/accountability discourse around abuse of power and institutional control of the presidency.,The Zafy impeachment crisis is coded as a legality/accountability discourse around abuse of power and institutional control of the presidency.,Albert Zafy,,impeachment; legality; accountability; institutional control,,A-1995-01; adjusts Third Republic constitutional balance before 1996 impeachment crisis; formal_or_regular_revision,DISCSRC_1996_ETHZ; SRC_STATE_1996_HR; SRC_WIPO_2007
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_001,2002-05-06,PER_008,Marc Ravalomanana,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.","Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.",Didier Ratsiraka,,electoral mandate; people; recount; popular mandate,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_IRIN; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02; ELTSRC_HOS
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,DISC_2002_002,2002-02-22,PER_005,Didier Ignace Ratsiraka,Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.,Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.,Marc Ravalomanana,,legality; runoff; constitutional procedure; dual power,"Dakar I Agreement; Dakar II Agreement / Dakar II Settlement Plan; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; Resolve competing presidential claims through mediated electoral/legal mechanism.; Move from dual authority toward accepted presidential settlement.",,DISCSRC_2002_CPJ; SRC_CRS_2009; SRC_BARG_2002_01; SRC_BARG_2002_02
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_001,2009-03-17,PER_010,Andry Nirina Rajoelina,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.,Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.,Marc Ravalomanana; authoritarianism; corruption,,people; authoritarianism; popular mandate; street; corruption,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; ELTSRC_HOS
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,DISC_2009_002,2009-03-17,PER_008,Marc Ravalomanana,Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.,Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.,Andry Rajoelina,,anti-coup; constitutional order; electoral legality; international recognition,"March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",DISCSRC_2009_CRS; SRC_CRS_2009; SRC_BARG_2009_01; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003
CR-2023,Presidential election legitimacy crisis and opposition boycott,DISC_2023_001,2023-11-16,COL_COLLECTIF_CANDIDATS,Collectif des candidats,"Opposition discourse in 2023 framed the election as illegitimate through citizenship, institutional-coup, and exclusion claims.","Opposition discourse in 2023 framed the election as illegitimate through citizenship, institutional-coup, and exclusion claims.",Andry Rajoelina; institutional coup; illegality,,institutional coup; illegality; citizenship; boycott; exclusion,"Collectif des candidats proposal for an interim structure / opposition roadmap; Opposition actors proposed an interim structure/roadmap during the 2023 electoral legitimacy crisis, but it did not become a negotiated national agreement.",,DISCSRC_2023_ALJAZEERA; SRC_COMMONS_2023; SRC_BARG_2023_01
CR-2025,"Gen Z uprising, CAPSAT defection, Rajoelina vacancy and military head-of-state transition",DISC_2025_001,2025-10-14,COL_GENZ,Gen Z / youth protest movement,"Gen Z mobilization is coded as youth/popular legitimacy built around public-service grievances, corruption, poverty, and rejection of the incumbent order.","Gen Z mobilization is coded as youth/popular legitimacy built around public-service grievances, corruption, poverty, and rejection of the incumbent order.",Andry Rajoelina; corruption,,Gen Z; youth; service delivery; corruption; people; street,"HCC Decision n°10-HCC/D3 on resolution of the 2025 political/institutional crisis; HCC ruled on a request concerning exit from the political and institutional crisis, recognized abandonment/vacancy logic and allowed military authority under Colonel Michaël Randrianirina to exercise head-of-state functions.; Recognize vacancy/incapacity and designate authority to exercise head-of-state functions.",E-2025-01; recognizes vacancy and invites military authority to exercise Head-of-State functions while institutions continue; formalized_transition_or_exception,DISCSRC_2025_REUTERS_POWERGRAB; SRC_HCC_2025_DEC10; SRC_BARG_2025_01; SRC_HCC_2025_10
CR-2025,"Gen Z uprising, CAPSAT defection, Rajoelina vacancy and military head-of-state transition",DISC_2025_004,2025-10-14,PER_010,Andry Nirina Rajoelina,Rajoelina-aligned counter-discourse is coded as anti-coup/legal continuity and rejection of military takeover after his departure.,Rajoelina-aligned counter-discourse is coded as anti-coup/legal continuity and rejection of military takeover after his departure.,Michaël Randrianirina,,anti-coup; legal continuity; military takeover; institutional rupture,"HCC Decision n°10-HCC/D3 on resolution of the 2025 political/institutional crisis; HCC ruled on a request concerning exit from the political and institutional crisis, recognized abandonment/vacancy logic and allowed military authority under Colonel Michaël Randrianirina to exercise head-of-state functions.; Recognize vacancy/incapacity and designate authority to exercise head-of-state functions.",E-2025-01; recognizes vacancy and invites military authority to exercise Head-of-State functions while institutions continue; formalized_transition_or_exception,DISCSRC_2025_CONSTITUTIONNET; SRC_HCC_2025_DEC10; SRC_BARG_2025_01; SRC_HCC_2025_10
