crisis_id,crisis_name,bargain_id,bargain_date,bargain_name,document_title,document_type,bargain_type,participant_actor_names,participant_roles,participant_sectors,mediators_or_guarantors,excluded_or_limited_actors,exclusion_evidence_status,settlement_effect,formalization_sequence,constitutional_context,discourse_evidence,source_ids
CR-1958-60,Decolonization and constitutional transfer to Malagasy Republic,BARG-1958-01,1958-10-14,Proclamation of the Malagasy Republic within the French Community,Proclamation of the Malagasy Republic within the French Community,signed_political_agreement,foundational constitutional settlement,French Republic; French Community; Congress of provincial assemblies,foreign_state_counterparty; constitutional_framework; adopting_body,foreign_state; domestic_collective,foreign_state_counterparty_or_historical_partner,,not coded in current source tables,Created the Malagasy Republic within the French Community and opened the negotiated path toward sovereign independence.,1958-10-14; Proclamation of the Malagasy Republic within the French Community; Created the Malagasy Republic within the French Community and opened the negotiated path toward sovereign independence.; signed_or_mediated_agreement; C-1958-01; C-1959-01; A-1960-01; foundational_act; constitution; constitutional_amendment; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975,C-1958-01; C-1959-01; A-1960-01; creates Malagasy Republic and provisional executive framework; creates First Republic presidential executive framework; modifies 1959 constitutional text after independence; formal_regular; formal_or_regular_revision,Foundational claim that the Malagasy Republic exists as a legal-political entity within the French Community.; Independence discourse frames sovereignty through negotiated legal recognition between France and Madagascar.,SRC_BARG_1958_01; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975; DISCSRC_1958_MJP; DISCSRC_1960_MJP_DECL; ELTSRC_HOS; ELTSRC_PMVP
CR-1958-60,Decolonization and constitutional transfer to Malagasy Republic,BARG-1960-01,1960-06-26,Déclaration commune franco-malgache,Déclaration commune franco-malgache,declaration,international bilateral declaration,French Republic,foreign_state_counterparty,foreign_state,foreign_state_counterparty_or_historical_partner,,not coded in current source tables,France recognized Madagascar as an independent and sovereign state; basis for the following independence/cooperation package and international admission.,1960-06-26; Déclaration commune franco-malgache; France recognized Madagascar as an independent and sovereign state; basis for the following independence/cooperation package and international admission.; political_or_legal_recognition; C-1958-01; C-1959-01; A-1960-01; foundational_act; constitution; constitutional_amendment; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975,C-1958-01; C-1959-01; A-1960-01; creates Malagasy Republic and provisional executive framework; creates First Republic presidential executive framework; modifies 1959 constitutional text after independence; formal_regular; formal_or_regular_revision,Foundational claim that the Malagasy Republic exists as a legal-political entity within the French Community.; Independence discourse frames sovereignty through negotiated legal recognition between France and Madagascar.,SRC_BARG_1960_01; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975; DISCSRC_1958_MJP; DISCSRC_1960_MJP_DECL; ELTSRC_HOS; ELTSRC_PMVP
CR-1958-60,Decolonization and constitutional transfer to Malagasy Republic,BARG-1960-02,1960-06-27,Franco-Malagasy cooperation package of independence,Franco-Malagasy cooperation package of independence,political_settlement_instrument,international bilateral treaty package,French Republic,foreign_state_counterparty,foreign_state,foreign_state_counterparty_or_historical_partner,,not coded in current source tables,"Sovereignty package covering Community participation, foreign policy, defense, monetary/economic/financial cooperation, justice, higher education, civil aviation, merchant marine, telecommunications, establishment rights, and other cooperation instruments.","1960-06-27; Franco-Malagasy cooperation package of independence; Sovereignty package covering Community participation, foreign policy, defense, monetary/economic/financial cooperation, justice, higher education, civil aviation, merchant marine, telecommunications, establishment rights, and other cooperation instruments.; political_or_legal_recognition; C-1958-01; C-1959-01; A-1960-01; foundational_act; constitution; constitutional_amendment; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975",C-1958-01; C-1959-01; A-1960-01; creates Malagasy Republic and provisional executive framework; creates First Republic presidential executive framework; modifies 1959 constitutional text after independence; formal_regular; formal_or_regular_revision,Foundational claim that the Malagasy Republic exists as a legal-political entity within the French Community.; Independence discourse frames sovereignty through negotiated legal recognition between France and Madagascar.,SRC_BARG_1960_02; SRC_ARCHONTOLOGY_HOS; SRC_MJP_1958; SRC_MJP_1959; SRC_MJP_1975; DISCSRC_1958_MJP; DISCSRC_1960_MJP_DECL; ELTSRC_HOS; ELTSRC_PMVP
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,BARG-1972-01,1972-05-18,Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa,Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa,constitutional_settlement,domestic executive-transfer arrangement,Philibert Tsiranana; Gabriel Ramanantsoa; Malagasy military / armed forces,incumbent_or_counterparty; recipient_or_transfer_actor; coercive_or_transfer_actor,state_elite; military_elite; military,,,not coded in current source tables,Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.,1972-05-18; Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.; referendum_and_provisional_constitutional_law; E-1972-01; provisional_constitution; SRC_IMODEV_1972,E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.; The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,SRC_BARG_1972_01; SRC_MARCUS_2004; SRC_IMODEV_1972; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,BARG-1972-02,1972-10-08,1972 referendum and Loi constitutionnelle provisoire,1972 referendum and Loi constitutionnelle provisoire,signed_political_agreement,domestic constitutional-political settlement,Gabriel Ramanantsoa,recipient_or_transfer_actor,military_elite,,,not coded in current source tables,"Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.","1972-10-08; 1972 referendum and Loi constitutionnelle provisoire; Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.; referendum_and_provisional_constitutional_law; E-1972-01; provisional_constitution; SRC_IMODEV_1972",E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.; The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,SRC_BARG_1972_02; SRC_MARCUS_2004; SRC_IMODEV_1972; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,BARG-1973-01,1973-06-04,Revised Franco-Malagasy cooperation accords,Revised Franco-Malagasy cooperation accords,signed_political_agreement,international bilateral treaty package,Gabriel Ramanantsoa; French Republic; Malagasy military / armed forces,recipient_or_transfer_actor; foreign_state_counterparty; coercive_or_transfer_actor,military_elite; foreign_state; military,foreign_state_counterparty_or_historical_partner,,not coded in current source tables,"Renegotiated the 1960 cooperation regime after the 1972 rupture, including French military/strategic and cooperation questions.","1973-06-04; Revised Franco-Malagasy cooperation accords; Renegotiated the 1960 cooperation regime after the 1972 rupture, including French military/strategic and cooperation questions.; signed_or_mediated_agreement; E-1972-01; provisional_constitution; SRC_IMODEV_1972",E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.; The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,SRC_BARG_1973_01; SRC_MARCUS_2004; SRC_IMODEV_1972; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP
CR-1975,"Ramanantsoa resignation, Ratsimandrava assassination, Military Directory and Ratsiraka settlement",BARG-1975-01,1975-02-05,Ramanantsoa-Ratsimandrava executive transfer arrangement,Ramanantsoa-Ratsimandrava executive transfer arrangement,signed_political_agreement,domestic executive-transfer arrangement,Gabriel Ramanantsoa; Richard Ratsimandrava; Didier Ignace Ratsiraka; Malagasy military / armed forces,recipient_or_transfer_actor; claimant_or_signatory; coercive_or_transfer_actor,military_elite; state_elite; military,,,not coded in current source tables,"Ramanantsoa resigned and transferred power to Ratsimandrava. The transfer was soon destabilized by Ratsimandrava's assassination, leading to a military directorate and eventually Ratsiraka.","1975-02-05; Ramanantsoa-Ratsimandrava executive transfer arrangement; Ramanantsoa resigned and transferred power to Ratsimandrava. The transfer was soon destabilized by Ratsimandrava's assassination, leading to a military directorate and eventually Ratsiraka.; signed_or_mediated_agreement; C-1975-01; constitution_and_charter; SRC_MJP_1975",C-1975-01; creates Second Republic and highly concentrated revolutionary executive; formal_regular,"The 1975 Socialist Charter and Constitution framed executive authority through revolutionary transformation, national sovereignty, and socialist refoundation.",SRC_BARG_1975_01; SRC_BRITANNICA_RATSIMANDRAVA; SRC_MJP_1975; DISCSRC_1975_MJP; ELTSRC_HOS; ELTSRC_PMVP
CR-1975,"Ramanantsoa resignation, Ratsimandrava assassination, Military Directory and Ratsiraka settlement",BARG-1975-02,1975-02-11,Military Directorate / Directoire militaire after Ratsimandrava assassination,Military Directorate / Directoire militaire after Ratsimandrava assassination,signed_political_agreement,domestic military crisis arrangement,Richard Ratsimandrava; Gilles Andriamahazo; Didier Ignace Ratsiraka; Malagasy military / armed forces; 1975 Military Directorate / Directoire militaire; African Union,recipient_or_transfer_actor; military_directorate_head; claimant_or_signatory; coercive_or_transfer_actor; military_directorate; mediator_observer_or_norm_enforcer,military_elite; state_elite; military; regional_organization,,,not coded in current source tables,"After Ratsimandrava's assassination, a military directorate temporarily exercised authority before Ratsiraka emerged as the dominant transition leader.","1975-02-11; Military Directorate / Directoire militaire after Ratsimandrava assassination; After Ratsimandrava's assassination, a military directorate temporarily exercised authority before Ratsiraka emerged as the dominant transition leader.; signed_or_mediated_agreement; C-1975-01; constitution_and_charter; SRC_MJP_1975",C-1975-01; creates Second Republic and highly concentrated revolutionary executive; formal_regular,"The 1975 Socialist Charter and Constitution framed executive authority through revolutionary transformation, national sovereignty, and socialist refoundation.",SRC_BARG_1975_02; SRC_BRITANNICA_RATSIMANDRAVA; SRC_MJP_1975; DISCSRC_1975_MJP; ELTSRC_HOS; ELTSRC_PMVP
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,BARG-1991-01,1991-10-31,Convention du 31 octobre 1991 / Convention du Panorama,Convention du 31 octobre 1991 / Convention du Panorama,signed_political_agreement,domestic mediated political convention,Didier Ignace Ratsiraka; Albert Zafy; African Union; Council of Christian Churches in Madagascar / FFKM; Forces Vives movement; Opposition parties and blocs; Political actors / parties,claimant_or_signatory; mediator_observer_or_norm_enforcer; moral_or_religious_mediator; opposition_movement_signatory; opposition_actor; participant_or_code_subject,state_elite; opposition_elite; regional_organization; religious_actor; opposition_movement; opposition; political_actor,FFKM,,not coded in current source tables,Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.,1991-10-31; Convention du 31 octobre 1991 / Convention du Panorama; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; signed_or_mediated_agreement; E-1991-01; A-1991-01; E-1992-01; C-1992-01; transition_convention; constitutional_amendment; transition_ordinance; constitution; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992,E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,"Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.; The 1991 Convention transformed crisis claims into a negotiated transition, combining legality, consensus, and national reconciliation.; The transition convention and later constitutional integration used legal formalization to stabilize an extra-ordinary power-sharing arrangement.; The 1992 Constitution framed the exit from crisis as a restored constitutional order based on democratic institutions and popular sovereignty.; consensus transition to end crisis",SRC_BARG_1991_01; SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992; DISCSRC_1991_SWARTHMORE; DISCSRC_1991_MJP; DISCSRC_1992_MJP; ELTSRC_HOS; ELTSRC_PMVP
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,BARG-1991-02,1991-11-21,Constitutional incorporation of the 31 October 1991 Convention,Constitutional incorporation of the 31 October 1991 Convention,signed_political_agreement,domestic legal formalization of political convention,African Union,mediator_observer_or_norm_enforcer,regional_organization,,,not coded in current source tables,"Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.","1991-11-21; Constitutional incorporation of the 31 October 1991 Convention; Formalized the Panorama political convention inside the constitutional order, converting negotiated authority into legal transition architecture.; signed_or_mediated_agreement; E-1991-01; A-1991-01; E-1992-01; C-1992-01; transition_convention; constitutional_amendment; transition_ordinance; constitution; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992",E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,"Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.; The 1991 Convention transformed crisis claims into a negotiated transition, combining legality, consensus, and national reconciliation.; The transition convention and later constitutional integration used legal formalization to stabilize an extra-ordinary power-sharing arrangement.; The 1992 Constitution framed the exit from crisis as a restored constitutional order based on democratic institutions and popular sovereignty.; consensus transition to end crisis",SRC_BARG_1991_02; SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992; DISCSRC_1991_SWARTHMORE; DISCSRC_1991_MJP; DISCSRC_1992_MJP; ELTSRC_HOS; ELTSRC_PMVP
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,BARG-2002-01,2002-04-18,Dakar I Agreement,Dakar I Agreement,signed_political_agreement,internationally mediated multiparty agreement,Didier Ignace Ratsiraka; Marc Ravalomanana; Republic of Senegal / Dakar mediation,claimant_or_signatory; host_or_mediator,state_elite; foreign_state,Senegal/Dakar,,not coded in current source tables,"Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.","2002-04-18; Dakar I Agreement; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; signed_or_mediated_agreement",,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.; prevent dual-power escalation and stabilize electoral dispute",SRC_BARG_2002_01; SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; ELTSRC_HOS; ELTSRC_PMVP
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,BARG-2002-02,2002-06-09,Dakar II Agreement / Dakar II Settlement Plan,Dakar II Agreement / Dakar II Settlement Plan,signed_political_agreement,internationally mediated multiparty agreement,Didier Ignace Ratsiraka; Marc Ravalomanana; United Nations; Republic of Senegal / Dakar mediation,claimant_or_signatory; mediator_or_observer; host_or_mediator,state_elite; international_organization; foreign_state,UN; Senegal/Dakar; mediator_or_observer,,not coded in current source tables,"Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.","2002-06-09; Dakar II Agreement / Dakar II Settlement Plan; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; signed_or_mediated_agreement",,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.; prevent dual-power escalation and stabilize electoral dispute",SRC_BARG_2002_02; SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; ELTSRC_HOS; ELTSRC_PMVP
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,BARG-2009-01,2009-03-17,March 2009 military transfer ordinances and HAT institutional arrangement,March 2009 military transfer ordinances and HAT institutional arrangement,ordinance_transfer_act,domestic military-political executive-transfer arrangement,Marc Ravalomanana; Andry Nirina Rajoelina; Malagasy military / armed forces; Haute Cour Constitutionnelle; Haute Autorité de la Transition; African Union,claimant_or_signatory; claimant_or_transition_actor; coercive_or_transfer_actor; constitutional_court_or_formalizer; transition_authority; mediator_observer_or_norm_enforcer,state_elite; military; judicial_constitutional; transition_institution; regional_organization,foreign_state_counterparty_or_historical_partner,,not coded in current source tables,"Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","2009-03-17; March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.; ordinance_or_executive_transfer_act; A-2009-01; E-2009-01; E-2009-02; E-2009-03; constitutional_amendment; crisis_transfer_ordinance; transitional_basic_law; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.; Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.; The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.; Ordinance n°2009-003 framed HAT authority through legal organization of public powers after the rupture.,SRC_BARG_2009_01; SRC_CRS_2009; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; DISCSRC_2009_CRS; DISCSRC_2009_ORD003; ELTSRC_HOS; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-02,2009-08-08,Accord politique de Maputo,Accord politique de Maputo,signed_political_agreement,internationally mediated multiparty agreement,Didier Ignace Ratsiraka; Albert Zafy; Marc Ravalomanana; Andry Nirina Rajoelina; Southern African Development Community; African Union; United Nations; Organisation internationale de la Francophonie,claimant_or_signatory; claimant_or_transition_actor; mediator_or_guarantor; mediator_observer_or_norm_enforcer; mediator_or_observer,state_elite; opposition_elite; regional_organization; international_organization,SADC; UN; OIF; mediator_guarantor_or_oversight_body; mediator_or_observer,,not coded in current source tables,"Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.","2009-08-08; Accord politique de Maputo; Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_02; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-03,2009-08-09,Charte des valeurs,Charte des valeurs,transition_charter,internationally mediated signed declaration/charter,Didier Ignace Ratsiraka; Albert Zafy; Marc Ravalomanana; Andry Nirina Rajoelina; Southern African Development Community; African Union; Organisation internationale de la Francophonie,claimant_or_signatory; claimant_or_transition_actor; mediator_or_guarantor; mediator_observer_or_norm_enforcer; mediator_or_observer,state_elite; opposition_elite; regional_organization; international_organization,SADC; OIF; mediator_guarantor_or_oversight_body; mediator_or_observer,,not coded in current source tables,"Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.","2009-08-09; Charte des valeurs; Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_03; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-04,2009-08-09,Charte de la Transition,Charte de la Transition,transition_charter,internationally mediated transitional constitutional charter,Didier Ignace Ratsiraka; Albert Zafy; Marc Ravalomanana; Andry Nirina Rajoelina; Southern African Development Community; African Union; Organisation internationale de la Francophonie; Independent National Electoral Commission,claimant_or_signatory; claimant_or_transition_actor; mediator_or_guarantor; mediator_observer_or_norm_enforcer; mediator_or_observer; election_management_actor,state_elite; opposition_elite; regional_organization; international_organization; election_institution,SADC; OIF; mediator_guarantor_or_oversight_body; mediator_or_observer,,not coded in current source tables,"Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.","2009-08-09; Charte de la Transition; Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_04; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
