crisis_id,crisis_name,bargain_id,bargain_date,bargain_name,document_title,document_type,bargain_type,condition_summary,implementation_status,settlement_effect,formalization_sequence,constitutional_context,discourse_evidence,source_ids
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,BARG-1972-01,1972-05-18,Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa,Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa,constitutional_settlement,domestic executive-transfer arrangement,elections_referendum_or_roadmap,implemented_or_formally_recognized,Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.,1972-05-18; Transfer of full powers from Philibert Tsiranana to General Gabriel Ramanantsoa; Tsiranana handed full powers to General Ramanantsoa to form a government and resolve the 1972 crisis. This was not a negotiated multiparty accord but functioned as the decisive executive settlement.; referendum_and_provisional_constitutional_law; E-1972-01; provisional_constitution; SRC_IMODEV_1972,E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.; The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,SRC_BARG_1972_01; SRC_MARCUS_2004; SRC_IMODEV_1972; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP
CR-1972,Student-worker uprising and transfer from Tsiranana to Ramanantsoa,BARG-1972-02,1972-10-08,1972 referendum and Loi constitutionnelle provisoire,1972 referendum and Loi constitutionnelle provisoire,signed_political_agreement,domestic constitutional-political settlement,elections_referendum_or_roadmap,implemented_or_formally_recognized,"Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.","1972-10-08; 1972 referendum and Loi constitutionnelle provisoire; Popular vote confirmed Ramanantsoa's five-year transition and was followed by the provisional constitutional law of 7 November 1972, replacing the 1959 constitutional order during transition.; referendum_and_provisional_constitutional_law; E-1972-01; provisional_constitution; SRC_IMODEV_1972",E-1972-01; substitutes for 1959 Constitution and legalizes military-led provisional government; formalized_transition_or_exception,Student-worker mobilization framed the crisis as a rejection of the established order and postcolonial dependence.; The provisional constitutional settlement framed military-led government as necessary to restore order and organize a new constitutional path.,SRC_BARG_1972_02; SRC_MARCUS_2004; SRC_IMODEV_1972; DISCSRC_1972_TV5; DISCSRC_1972_MJP_1975; ELTSRC_HOS; ELTSRC_PMVP
CR-1991,Forces Vives mobilization and 31 October 1991 transition convention,BARG-1991-01,1991-10-31,Convention du 31 octobre 1991 / Convention du Panorama,Convention du 31 octobre 1991 / Convention du Panorama,signed_political_agreement,domestic mediated political convention,elections_referendum_or_roadmap,implemented_or_formally_recognized,Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.,1991-10-31; Convention du 31 octobre 1991 / Convention du Panorama; Ended the 1991 crisis by creating a transitional architecture in which Ratsiraka remained President symbolically while Albert Zafy headed the Haute Autorité de l'État.; signed_or_mediated_agreement; E-1991-01; A-1991-01; E-1992-01; C-1992-01; transition_convention; constitutional_amendment; transition_ordinance; constitution; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992,E-1991-01; A-1991-01; E-1992-01; C-1992-01; reallocates authority during democratic transition while maintaining HCC; formalizes 1991 negotiated convention inside constitutional order; implements HCC arrangements under 1991 convention; creates Third Republic semi-presidential constitutional order; formalized_transition_or_exception; formal_or_regular_revision; formal_regular,"Forces Vives mobilization framed legitimacy through democracy, free elections, and popular pressure against Ratsiraka’s regime.; The 1991 Convention transformed crisis claims into a negotiated transition, combining legality, consensus, and national reconciliation.; The transition convention and later constitutional integration used legal formalization to stabilize an extra-ordinary power-sharing arrangement.; The 1992 Constitution framed the exit from crisis as a restored constitutional order based on democratic institutions and popular sovereignty.; consensus transition to end crisis",SRC_BARG_1991_01; SRC_MJP_1991_CONVENTION; SRC_HCC_MANUEL; SRC_PERSEE_1991; SRC_ICL_1992; DISCSRC_1991_SWARTHMORE; DISCSRC_1991_MJP; DISCSRC_1992_MJP; ELTSRC_HOS; ELTSRC_PMVP
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,BARG-2002-01,2002-04-18,Dakar I Agreement,Dakar I Agreement,signed_political_agreement,internationally mediated multiparty agreement,claim_resolution; Resolve competing presidential claims through mediated electoral/legal mechanism.; elections_referendum_or_roadmap,signed_but_failed_or_partially_implemented,"Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.","2002-04-18; Dakar I Agreement; Provided for review/recount of presidential results, referendum if needed, government of national unity, consensus prime minister, and lifting of blockades/violence.; signed_or_mediated_agreement",,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.; prevent dual-power escalation and stabilize electoral dispute",SRC_BARG_2002_01; SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; ELTSRC_HOS; ELTSRC_PMVP
CR-2001-02,Ratsiraka–Ravalomanana disputed presidential election and dual authority crisis,BARG-2002-02,2002-06-09,Dakar II Agreement / Dakar II Settlement Plan,Dakar II Agreement / Dakar II Settlement Plan,signed_political_agreement,internationally mediated multiparty agreement,claim_resolution; Move from dual authority toward accepted presidential settlement.; elections_referendum_or_roadmap,signed_but_failed_or_partially_implemented,"Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.","2002-06-09; Dakar II Agreement / Dakar II Settlement Plan; Proposed early legislative elections, transitional government and reconciliation council to settle competing presidential claims, but was overtaken by later political-constitutional developments.; signed_or_mediated_agreement",,"Ravalomanana’s claim is coded as electoral mandate discourse: first-round victory, recount, and popular/electoral legitimacy.; Ratsiraka’s counter-claim is coded as constitutional/procedural legality discourse around the disputed election and runoff process.; Dakar/OAU mediation framed the crisis as requiring negotiated verification, stability, and avoidance of civil conflict.; prevent dual-power escalation and stabilize electoral dispute",SRC_BARG_2002_02; SRC_CRS_2009; DISCSRC_2002_IRIN; DISCSRC_2002_CPJ; DISCSRC_2002_DAKAR; ELTSRC_HOS; ELTSRC_PMVP
CR-2009,Ravalomanana–Rajoelina crisis and military-backed transfer to HAT,BARG-2009-01,2009-03-17,March 2009 military transfer ordinances and HAT institutional arrangement,March 2009 military transfer ordinances and HAT institutional arrangement,ordinance_transfer_act,domestic military-political executive-transfer arrangement,elections_referendum_or_roadmap,implemented_or_formally_recognized,"Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.","2009-03-17; March 2009 military transfer ordinances and HAT institutional arrangement; Power passed from the president to military authority and then to Rajoelina/HAT. This was not a political agreement, but is an equivalent local settlement for executive formation.; ordinance_or_executive_transfer_act; A-2009-01; E-2009-01; E-2009-02; E-2009-03; constitutional_amendment; crisis_transfer_ordinance; transitional_basic_law; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003","A-2009-01; E-2009-01; E-2009-02; E-2009-03; modifies Article 15 shortly before executive rupture; dissolves government and transfers full powers to Military Directory; transfers full powers from Military Directory to Andry Rajoelina; creates HAT, suspends Senate and National Assembly, defines transition executive powers; formal_or_regular_revision; formalized_transition_or_exception",Rajoelina’s 2009 claim is coded as popular/revolutionary legitimacy against alleged authoritarianism and exclusion by Ravalomanana.; Ravalomanana and his supporters framed the 2009 transfer as a coup and defended constitutional continuity/electoral legality.; The one-day Military Directory is coded as an emergency/necessity transfer actor that converted coercive authority into transitional authority.; Ordinance n°2009-003 framed HAT authority through legal organization of public powers after the rupture.,SRC_BARG_2009_01; SRC_CRS_2009; SRC_HCC_2009_AMEND; SRC_HCC_2009_ORDS; SRC_ACE_2009_003; DISCSRC_2009_CRS; DISCSRC_2009_ORD003; ELTSRC_HOS; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-02,2009-08-08,Accord politique de Maputo,Accord politique de Maputo,signed_political_agreement,internationally mediated multiparty agreement,transition_exit; Create negotiated exit from 2009 transition crisis.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.","2009-08-08; Accord politique de Maputo; Core framework agreement of the 2009 crisis; set principles for an inclusive, consensual transition and cross-referenced amnesty/implementation arrangements.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_02; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-03,2009-08-09,Charte des valeurs,Charte des valeurs,transition_charter,internationally mediated signed declaration/charter,elections_referendum_or_roadmap,implemented_or_formally_recognized,"Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.","2009-08-09; Charte des valeurs; Normative text committing the four leaders to non-violence, non-discrimination, tolerance, forgiveness, reconciliation and respect for promises during negotiations and transition.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_03; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-04,2009-08-09,Charte de la Transition,Charte de la Transition,transition_charter,internationally mediated transitional constitutional charter,transition_institution_design; Organize transition institutions and authority pending elections.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.","2009-08-09; Charte de la Transition; Operative transition constitution: transitional presidency, vice-presidency, government of national unity, bicameral transition legislature, reconciliation committee, CENI, constitutional drafting, elections and amnesty framework.; transition_charter; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_04; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-05,2009-08-08,Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002,Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002,signed_political_agreement,internationally mediated ancillary accord,amnesty_or_accountability; Annul or address charges linked to 2002 events.; elections_referendum_or_roadmap,implemented_or_formally_recognized,Provided annulment of charges related to the 2002 political events as part of reconciliation/amnesty bargaining.,2009-08-08; Accord n°1 de Maputo sur l’annulation des charges relatives aux événements de 2002; Provided annulment of charges related to the 2002 political events as part of reconciliation/amnesty bargaining.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010,"E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_05; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-06,2009-08-08,Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana,Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana,signed_political_agreement,internationally mediated ancillary accord,leader_status_or_return; Settle the case/return/status of Marc Ravalomanana.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.","2009-08-08; Accord n°2 de Maputo sur le cas du Président Marc Ravalomanana; Addressed the treatment, return/security conditions and political/legal status of former President Marc Ravalomanana during the transition.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_06; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
CR-2009-10,Maputo/Addis/Ivato transition bargaining after 2009 rupture,BARG-2009-07,2009-08-08,Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana,Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana,signed_political_agreement,internationally mediated ancillary accord,amnesty_or_accountability; Annul or address prosecutions/convictions under the Ravalomanana regime.; elections_referendum_or_roadmap,implemented_or_formally_recognized,"Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.","2009-08-08; Accord n°3 de Maputo sur l’annulation des poursuites et condamnations prononcées durant le régime Ravalomanana; Annulled certain prosecutions and convictions of political, civilian and military figures from the Ravalomanana period.; signed_or_mediated_agreement; E-2009-04; E-2009-05; E-2010-01; C-2010-01; transition_charter; transition_charter_addendum; political_agreement; constitution; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010","E-2009-04; E-2009-05; E-2010-01; C-2010-01; defines transitional principles, organs, election rules, amnesty and constitution-making principles; adds/clarifies transition power-sharing formula including presidential council logic; sets immediate political path toward referendum and Fourth Republic constitution; creates Fourth Republic and lowers presidential eligibility to 35; institutionalizes transition exit rules; formalized_transition_or_exception; formal_regular","The Maputo Charter framed transition through inclusiveness, power sharing, reconciliation, and internationally mediated return to order.; inclusive transition and negotiated exit from crisis",SRC_BARG_2009_07; SRC_CRS_2009; SRC_PAX_2009_CHARTER; SRC_PAX_2009_ADDIS; SRC_MJP_2010_IVATO; SRC_CONSTITUTE_2010; DISCSRC_2009_PAX_MAPUTO; ELTSRC_PMVP
